model,condition,confidence_bin,n,mean_confidence,accuracy,brier_any_defect
deepseek-coder:6.7b,rubric_guided,0.5-0.6,2,0.5,0.5,0.25
deepseek-coder:6.7b,rubric_guided,0.7-0.8,3,0.75,1.0,0.0625
deepseek-coder:6.7b,rubric_guided,0.9-1.0,608,0.9995888157894737,0.3536184210526316,0.34541529605263155
deepseek-coder:6.7b,zero_shot,0.0-0.1,1,0.0,0.0,1.0
deepseek-coder:6.7b,zero_shot,0.5-0.6,2,0.5,0.5,0.25
deepseek-coder:6.7b,zero_shot,0.7-0.8,2,0.75,1.0,0.0625
deepseek-coder:6.7b,zero_shot,0.9-1.0,608,0.9994243421052631,0.3569078947368421,0.3454235197368421
gemma3:4b,rubric_guided,0.0-0.1,7,0.0,0.2857142857142857,0.7142857142857143
gemma3:4b,rubric_guided,0.8-0.9,547,0.850000000000008,0.6526508226691042,0.265644424131624
gemma3:4b,rubric_guided,0.9-1.0,59,0.950000000000001,0.6610169491525424,0.2770762711864406
gemma3:4b,zero_shot,0.0-0.1,7,0.0,0.14285714285714285,0.8571428571428571
gemma3:4b,zero_shot,0.7-0.8,4,0.75,1.0,0.3125
gemma3:4b,zero_shot,0.8-0.9,548,0.850000000000008,0.6605839416058394,0.2652007299270043
gemma3:4b,zero_shot,0.9-1.0,54,0.9500000000000007,0.6666666666666666,0.2858333333333332
granite3.2-vision:latest,rubric_guided,0.0-0.1,2,0.0,0.0,1.0
granite3.2-vision:latest,rubric_guided,0.8-0.9,44,0.8200000000000002,0.5,0.2505818181818182
granite3.2-vision:latest,rubric_guided,0.9-1.0,567,0.9499999999999947,0.3439153439153439,0.31202380952380915
granite3.2-vision:latest,zero_shot,0.0-0.1,3,0.0,0.6666666666666666,0.3333333333333333
granite3.2-vision:latest,zero_shot,0.8-0.9,72,0.8200000000000002,0.5972222222222222,0.35239999999999977
granite3.2-vision:latest,zero_shot,0.9-1.0,538,0.949999999999992,0.31970260223048325,0.2902323420074344
llama3.2:3b,rubric_guided,0.0-0.1,11,0.0,0.09090909090909091,0.9090909090909091
llama3.2:3b,rubric_guided,0.8-0.9,588,0.8201870748299261,0.6343537414965986,0.2510767006802699
llama3.2:3b,rubric_guided,0.9-1.0,14,0.9857142857142858,0.5714285714285714,0.5619714285714286
llama3.2:3b,zero_shot,0.0-0.1,19,0.0,0.3684210526315789,0.631578947368421
llama3.2:3b,zero_shot,0.8-0.9,585,0.8201196581196523,0.6478632478632479,0.24900940170939947
llama3.2:3b,zero_shot,0.9-1.0,9,0.9833333333333335,0.5555555555555556,0.5474555555555556
qwen2.5-coder:1.5b,rubric_guided,0.0-0.1,3,0.0,1.0,0.0
qwen2.5-coder:1.5b,rubric_guided,0.7-0.8,561,0.765721925133684,0.6648841354723708,0.23154563279857462
qwen2.5-coder:1.5b,rubric_guided,0.9-1.0,49,0.9530612244897966,0.5918367346938775,0.3533673469387755
qwen2.5-coder:1.5b,zero_shot,0.0-0.1,5,0.0,0.8,0.2
qwen2.5-coder:1.5b,zero_shot,0.7-0.8,562,0.7567259786476841,0.6619217081850534,0.23222135231316746
qwen2.5-coder:1.5b,zero_shot,0.9-1.0,46,0.9554347826086962,0.5869565217391305,0.31744565217391296
qwen2.5-coder:14b,rubric_guided,0.0-0.1,1,0.0,1.0,0.0
qwen2.5-coder:14b,rubric_guided,0.7-0.8,37,0.75,0.8918918918918919,0.11655405405405406
qwen2.5-coder:14b,rubric_guided,0.8-0.9,84,0.8199999999999997,0.8214285714285714,0.1466857142857144
qwen2.5-coder:14b,rubric_guided,0.9-1.0,491,0.9997963340122199,0.3869653767820774,0.38677189409368634
qwen2.5-coder:14b,zero_shot,0.0-0.1,2,0.0,1.0,0.0
qwen2.5-coder:14b,zero_shot,0.7-0.8,7,0.75,0.8571428571428571,0.13392857142857142
qwen2.5-coder:14b,zero_shot,0.8-0.9,111,0.8199999999999982,0.8648648648648649,0.11888648648648671
qwen2.5-coder:14b,zero_shot,0.9-1.0,493,0.9997971602434077,0.3894523326572008,0.3892596348884381
qwen2.5-coder:32b,rubric_guided,0.0-0.1,3,0.0,0.6666666666666666,0.3333333333333333
qwen2.5-coder:32b,rubric_guided,0.7-0.8,416,0.75,0.7427884615384616,0.19110576923076922
qwen2.5-coder:32b,rubric_guided,0.9-1.0,194,0.9595360824742246,0.520618556701031,0.4824355670103097
qwen2.5-coder:32b,zero_shot,0.0-0.1,3,0.0,0.6666666666666666,0.3333333333333333
qwen2.5-coder:32b,zero_shot,0.7-0.8,383,0.75,0.7545691906005222,0.1852154046997389
qwen2.5-coder:32b,zero_shot,0.9-1.0,227,0.9499999999999965,0.5022026431718062,0.45448237885462606
qwen2.5-coder:3b,rubric_guided,0.7-0.8,1,0.78,0.0,0.6084
qwen2.5-coder:3b,rubric_guided,0.9-1.0,612,0.9995915032679739,0.3415032679738562,0.3415236928104575
qwen2.5-coder:3b,zero_shot,0.7-0.8,1,0.78,0.0,0.6084
qwen2.5-coder:3b,zero_shot,0.9-1.0,612,0.9998366013071895,0.3415032679738562,0.34151143790849675
qwen2.5-coder:7b,rubric_guided,0.7-0.8,72,0.75,0.9027777777777778,0.1111111111111111
qwen2.5-coder:7b,rubric_guided,0.9-1.0,541,0.9973197781885397,0.4029574861367837,0.3740711645101663
qwen2.5-coder:7b,zero_shot,0.7-0.8,75,0.75,0.92,0.1025
qwen2.5-coder:7b,zero_shot,0.9-1.0,538,0.9958178438661703,0.4256505576208178,0.3775325278810408
qwen2.5:3b,rubric_guided,0.0-0.1,5,0.0,0.4,0.6
qwen2.5:3b,rubric_guided,0.7-0.8,596,0.7498489932885906,0.40436241610738255,0.23174110738255035
qwen2.5:3b,rubric_guided,0.8-0.9,2,0.835,1.0,0.027450000000000013
qwen2.5:3b,rubric_guided,0.9-1.0,10,0.95,0.6,0.5425000000000001
qwen2.5:3b,zero_shot,0.0-0.1,5,0.0,0.4,0.6
qwen2.5:3b,zero_shot,0.1-0.2,2,0.15,0.5,0.37249999999999994
qwen2.5:3b,zero_shot,0.7-0.8,595,0.7499495798319328,0.3983193277310924,0.22975361344537812
qwen2.5:3b,zero_shot,0.9-1.0,11,0.95,0.7272727272727273,0.6570454545454546
qwen2.5vl:3b,rubric_guided,0.0-0.1,16,0.0,0.8125,0.1875
qwen2.5vl:3b,rubric_guided,0.8-0.9,559,0.8199999999999942,0.6833631484794276,0.23390268336314698
qwen2.5vl:3b,rubric_guided,0.9-1.0,38,0.9236842105263151,0.5526315789473685,0.48013157894736863
qwen2.5vl:3b,zero_shot,0.0-0.1,14,0.0,0.7857142857142857,0.21428571428571427
qwen2.5vl:3b,zero_shot,0.8-0.9,572,0.8199999999999942,0.6818181818181818,0.236036363636362
qwen2.5vl:3b,zero_shot,0.9-1.0,27,0.9333333333333329,0.6296296296296297,0.5494444444444443
qwen3:4b,rubric_guided,0.0-0.1,2,0.0,0.5,0.5
qwen3:4b,rubric_guided,0.5-0.6,5,0.5199999999999999,0.8,0.251
qwen3:4b,rubric_guided,0.7-0.8,6,0.7800000000000001,0.5,0.3284
qwen3:4b,rubric_guided,0.8-0.9,422,0.8209715639810377,0.7037914691943128,0.22194905213270097
qwen3:4b,rubric_guided,0.9-1.0,178,0.9489887640449431,0.4606741573033708,0.41121573033707887
qwen3:4b,zero_shot,0.0-0.1,3,0.0,0.6666666666666666,0.3333333333333333
qwen3:4b,zero_shot,0.1-0.2,1,0.1,0.0,0.81
qwen3:4b,zero_shot,0.5-0.6,10,0.5,0.9,0.25
qwen3:4b,zero_shot,0.6-0.7,1,0.6,1.0,0.16000000000000003
qwen3:4b,zero_shot,0.7-0.8,13,0.7630769230769231,0.46153846153846156,0.3415846153846154
qwen3:4b,zero_shot,0.8-0.9,418,0.821244019138751,0.6985645933014354,0.2260660287081335
qwen3:4b,zero_shot,0.9-1.0,167,0.9467065868263475,0.46107784431137727,0.39580838323353307
