task_id,source_type,repo,language,condition,model,returncode,elapsed_sec,parse_ok,gold_has_defect,pred_has_defect,any_defect_correct,gold_defect_types,pred_defect_types,type_tp,type_fp,type_fn,weighted_type_tp,weighted_type_fp,weighted_type_fn,type_exact_match,false_alarm,missed_defect,over_report_count,under_report_count,pred_defect_count,gold_label_source,gold_severity,pred_severity,gold_severity_weight,pred_severity_weight,severity_abs_error,missed_major_or_critical,unsupported_span_count,span_checked_count,span_supported_count,span_supported_rate,unsupported_span_labels,copied_span_chars,confidence,mean_defect_confidence,brier_any_defect,confidence_bin,high_confidence_wrong,low_confidence_correct,needs_human_review,ambiguous_term_gold,ambiguous_term_pred,ambiguous_term_tp,ambiguous_term_fp,ambiguous_term_fn,missing_actor_gold,missing_actor_pred,missing_actor_tp,missing_actor_fp,missing_actor_fn,missing_trigger_gold,missing_trigger_pred,missing_trigger_tp,missing_trigger_fp,missing_trigger_fn,missing_expected_outcome_gold,missing_expected_outcome_pred,missing_expected_outcome_tp,missing_expected_outcome_fp,missing_expected_outcome_fn,missing_constraint_gold,missing_constraint_pred,missing_constraint_tp,missing_constraint_fp,missing_constraint_fn,not_testable_gold,not_testable_pred,not_testable_tp,not_testable_fp,not_testable_fn,overly_broad_requirement_gold,overly_broad_requirement_pred,overly_broad_requirement_tp,overly_broad_requirement_fp,overly_broad_requirement_fn,inconsistent_condition_gold,inconsistent_condition_pred,inconsistent_condition_tp,inconsistent_condition_fp,inconsistent_condition_fn,unsupported_external_assumption_gold,unsupported_external_assumption_pred,unsupported_external_assumption_tp,unsupported_external_assumption_fp,unsupported_external_assumption_fn
issue_001,issue_statement,apache/dubbo,Java,zero_shot,gemma3:4b,0,3.998,1,0,1,0,,ambiguous_term,0,1,0,0,1,0,0,1,0,1,0,1,human_audit,none,minor,0,1,1,0,1,1,0,0.0,ambiguous_term,22,0.95,0.9,0.9025,0.9-1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_002,issue_statement,apache/dubbo,Java,zero_shot,gemma3:4b,0,2.729,1,0,1,0,,overly_broad_requirement,0,1,0,0,1,0,0,1,0,1,0,1,human_audit,none,minor,0,1,1,0,0,1,1,1.0,,75,0.85,0.9,0.7224999999999999,0.8-0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
issue_005,issue_statement,apache/dubbo,Java,zero_shot,gemma3:4b,0,2.252,1,0,1,0,,ambiguous_term,0,1,0,0,1,0,0,1,0,1,0,1,human_audit,none,minor,0,1,1,0,0,1,1,1.0,,18,0.85,0.9,0.7224999999999999,0.8-0.9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_014,issue_statement,mrdoob/three.js,JavaScript,zero_shot,gemma3:4b,0,3.227,1,1,1,1,ambiguous_term|missing_actor|missing_constraint|missing_expected_outcome|missing_trigger|not_testable|overly_broad_requirement,not_testable,1,0,6,1,0,6,0,0,0,0,6,1,human_audit,minor,minor,1,1,0,0,1,1,0,0.0,not_testable,144,0.95,0.9,0.0025000000000000044,0.9-1.0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
issue_016,issue_statement,mrdoob/three.js,JavaScript,zero_shot,gemma3:4b,0,2.628,1,1,1,1,missing_constraint|missing_expected_outcome,ambiguous_term,0,1,2,0,1,2,0,0,0,0,1,1,human_audit,minor,minor,1,1,0,0,0,1,1,1.0,,24,0.95,0.98,0.0025000000000000044,0.9-1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_018,issue_statement,mrdoob/three.js,JavaScript,zero_shot,gemma3:4b,0,3.452,1,1,1,1,missing_expected_outcome,not_testable,0,1,1,0,1,1,0,0,0,0,0,1,human_audit,minor,minor,1,1,0,0,0,1,1,1.0,,36,0.85,0.9,0.022500000000000006,0.8-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_020,issue_statement,prettier/prettier,JavaScript,zero_shot,gemma3:4b,0,2.939,1,0,1,0,,not_testable,0,1,0,0,2,0,0,1,0,1,0,1,human_audit,none,major,0,2,2,0,0,1,1,1.0,,60,0.95,0.98,0.9025,0.9-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_023,issue_statement,prettier/prettier,JavaScript,zero_shot,gemma3:4b,0,2.85,1,1,1,1,missing_expected_outcome|not_testable,missing_constraint,0,1,2,0,1,4,0,0,0,0,1,1,human_audit,major,minor,2,1,1,0,1,1,0,0.0,missing_constraint,61,0.95,0.9,0.0025000000000000044,0.9-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_036,issue_statement,huggingface/transformers,Python,zero_shot,gemma3:4b,0,2.91,1,1,1,1,missing_expected_outcome,missing_constraint,0,1,1,0,1,1,0,0,0,0,0,1,human_audit,minor,minor,1,1,0,0,1,1,0,0.0,missing_constraint,31,0.95,0.9,0.0025000000000000044,0.9-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_037,issue_statement,coder/code-server,TypeScript,zero_shot,gemma3:4b,0,3.124,1,0,1,0,,missing_constraint,0,1,0,0,1,0,0,1,0,1,0,1,human_audit,none,minor,0,1,1,0,1,1,0,0.0,missing_constraint,15,0.85,0.9,0.7224999999999999,0.8-0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
