task_id,origin_id,source_type,repo,language,statement,gold_has_defect,gold_defect_types,gold_severity,gold_label_source
issue_001,poly_apache__dubbo-10846,issue_statement,apache/dubbo,Java,"Enhance protocol order in MetadataServiceExporter
        > 这里没指定 metadata 协议 port 的时候 是使用用户指定的应用协议呢？ 还是保持现在的 默认使用dubbo 但是 优化下 错误 提示

这里最好将默认值改成从用户环境中获取已经配置的额 protocol，都没配置再使用 dubbo

_Originally posted by @AlbumenJ in https://github.com/apache/dubbo/issues/10795#issuecomment-1289913950_",True,missing_actor|missing_trigger|missing_expected_outcome|not_testable|overly_broad_requirement,major,rule_seeded
issue_002,poly_apache__dubbo-11255,issue_statement,apache/dubbo,Java,"Observability tasks: complement all JVM metrics and application information
<!-- If you need to report a security issue please visit https://github.com/apache/dubbo/security/policy -->

- [ ] I have searched the [issues](https://github.com/apache/dubbo/issues) of this repository and believe that this is not a duplicate.

## Describe the proposal
<!-- Please use this for a concrete design proposal for functionality. -->
<!-- If you just want to request a new feature and discuss the possible business value, create a Feature Request. -->

En:At present, the jvm application information provided by dubbo has missing data. For example, it cannot be filtered according to the application name. Data information such as jvm needs to add the application name in the label. At the same time, you can try to complete the missing data in the dashboard. The reference address of the dashboard is:[http://114.55.147.139:3000/d/5i618CpVk/dubbo-jvm-micrometer?orgId=1&refresh=15m](http://114.55.147.139:3000/d/5i618CpVk/dubbo-jvm-micrometer?orgId=1&refresh=15m)

中文：目前dubbo提供出来的jvm应用信息存在数据缺失的情况比如无法根据应用名称筛选,jvm等数据信息需要再label中增加应用名字，同时可以尝试补全dashboard中缺失的数据，dashboard参考地址为：[http://114.55.147.139:3000/d/5i618CpV
...[truncated]",False,,none,rule_seeded
issue_003,poly_apache__dubbo-11420,issue_statement,apache/dubbo,Java,"Observability: about the design of the collector's domain
<!-- If you need to report a security issue please visit https://github.com/apache/dubbo/security/policy -->

- [ ] I have searched the [issues](https://github.com/apache/dubbo/issues) of this repository and believe that this is not a duplicate.

## Describe the proposal
<!-- Please use this for a concrete design proposal for functionality. -->
<!-- If you just want to request a new feature and discuss the possible business value, create a Feature Request. -->
En: Observability: about the design of the collector's domain,
There are two types of collectors. One is used to collect specific indicator data, called production data collectors.
One is used for secondary processing of collected data, which is called consumer data collector.
The collector of production data needs to collect data from all areas of Dubbo, so it needs to collect data from the collector that can collect data under the module level, application level application or framework level framework domain, and the collector of consumption data can belong to the domain container according to the actual scenario, and carry out data consumption processing according
...[truncated]",False,,none,rule_seeded
issue_004,poly_apache__dubbo-13869,issue_statement,apache/dubbo,Java,"Usage question of QoS invoke
<!-- If you need to report a security issue please visit https://github.com/apache/dubbo/security/policy -->

- [ ] I have searched the [issues](https://github.com/apache/dubbo/issues) of this repository and believe that this is not a duplicate.

## Ask your question here

`接口+分组+版本号才能唯一确定一个服务`
那QoS里invoke，的语法是什么？

`invoke 类.方法()` (里面没 分组和版本)",True,missing_expected_outcome|not_testable,major,rule_seeded
issue_005,poly_apache__dubbo-2750,issue_statement,apache/dubbo,Java,"Provider should disable mock configuration.
mock configuration should be disabled on provider side.",True,missing_actor,minor,rule_seeded
issue_006,poly_apache__dubbo-8032,issue_statement,apache/dubbo,Java,"How to disable registry center completely?
I'm taking Dubbo as a pure RPC framework, so registry center is not appropriate in my case, but the `ServiceConfig` keeps complaining about missing registry.

Anyone could help?",True,ambiguous_term|missing_actor|missing_trigger,major,rule_seeded
issue_007,poly_apache__rocketmq-3862,issue_statement,apache/rocketmq,Java,"enhance the cal of latency for putting message
**FEATURE REQUEST**

1. Please describe the feature you are requesting.
Now the message putting latency is only counted in the following ranges：
```java
""[<=0ms]"", ""[0~10ms]"", ""[10~50ms]"", ""[50~100ms]"", ""[100~200ms]"", ""[200~500ms]"", ""[500ms~1s]"", ""[1~2s]"", ""[2~3s]"", ""[3~4s]"", ""[4~5s]"", ""[5~10s]"", ""[10s~]"",
```
- This granularity is too coarse, so we can't calculate the exact latency of putting msg with those value, such as P99, P999.

2. Provide any additional detail on your proposed use case for this feature.
- Use the bucket method to calculate the write latency of P99 and P999 with a finer granularity.
![计算写入延时](https://user-images.githubusercontent.com/46882838/154627820-b003006c-fb64-41f4-8a43-145c34c2b764.png)
- The spacing of the buckets will increase with time
- We plan to use the following spacing：
![image](https://user-images.githubusercontent.com/46882838/154628978-44995196-aa5b-49b1-8cf5-239b4d6afc89.png)
3. Indicate the importance of this issue to you (blocker, must-have, should-have, nice-to-have). Are you currently using any workarounds to address this issue?
nice-to-have
4. If there are some sub-tasks using -[] for each
...[truncated]",False,,none,rule_seeded
issue_008,poly_apache__rocketmq-4122,issue_statement,apache/rocketmq,Java,"[RIP-7] Support multi-directory storage in DLedger.
**FEATURE REQUEST**

1. Please describe the feature you are requesting.
Multi-directory storage has been supported in 4.9.2, but it only supports master-slave deployment mode. We should also support this feature in DLedger deployment mode.

2. Provide any additional detail on your proposed use case for this feature.
Refer to this pr https://github.com/apache/rocketmq/pull/3357 to implement it.

3. Indicate the importance of this issue to you (blocker, must-have, should-have, nice-to-have). Are you currently using any workarounds to address this issue?
Should-have.
5. If there are some sub-tasks using -[] for each subtask and create a corresponding issue to map to the sub task:

- [x] [Task-1](https://github.com/openmessaging/dledger/issues/118): Make [DLedger](https://github.com/openmessaging/dledger) support mult-directory storage.
- [x] Task-2: Upgrade DLedger dependencies and adapt it. https://github.com/apache/rocketmq/pull/4122",False,,none,rule_seeded
issue_009,poly_apache__rocketmq-5062,issue_statement,apache/rocketmq,Java,"Support escaping transactional messages in slave-acting-master mode
**FEATURE REQUEST**

In [RIP-32](https://github.com/apache/rocketmq/wiki/RIP-32-Slave-Acting-Master-Mode), Slave Acting Master Mode is supported and the escape of the transactional messages need to be supported. 

Below is a simple implementation of escaping transactional messages:

If a slave node is acting as master,
- EndTransaction requests (including commit and rollback) are denied.
- When checking status of half messages, escape half messages to an available master directly, without checking transaction status actually. There is a small trick: If a half message is sent to a local master, just append it to half topic; if sent to a remote master, the half message should be restored to original real message, because sending messages to a system topic is forbidden.

This implemetation keeps read-only sematics of slaves, so that no new half messages or op messages will be created in slave acting as master, all actual checking processes of half messages are delivered to master.

Previously there are several proposals, such as #4427, #4477, etc. They do provide good references and I truly appreciate the authors.",True,ambiguous_term,minor,rule_seeded
issue_010,poly_apache__rocketmq-5286,issue_statement,apache/rocketmq,Java,"Add vm arguments to set useTLS for all server.
When a server needs to call other services as a client, it may be need to set the useTLS value. So we can use the vm arguments for all server (broker, controller in namesrv, controller) .",True,missing_expected_outcome|missing_constraint,major,rule_seeded
