audit_id,task_id,source_type,gold_label_source,repo,language,statement,silver_has_defect,silver_defect_types,silver_severity,review_has_defect,review_defect_types,review_severity,label_agreement,review_notes
audit_001,ac_044,acceptance_criterion,rule_seeded,apache/dubbo,Java,The consumer collector should be able to belong to the domain container according to the actual scenario and process data based on specific internal configurations.,True,missing_actor,minor,TRUE,ambiguous_term|missing_actor|not_testable,minor,,"The statement lacks a clear actor, uses vague terms such as “actual scenario” and “specific internal configurations,” and does not specify any observable expected outcome. Therefore, it is considered a defect with minor severity."
audit_002,ult_002,function_spec,test_oracle_derived,UnLeakedTestBench,Python,Function `BinaryFromFraction` should Converts x = num / den to IEEE binary floatingpoint x' = f 2^e.,True,missing_trigger,minor,TRUE,ambiguous_term|missing_actor|missing_expected_outcome|not_testable,minor,agree,"Statement mô tả hành động chuyển đổi nhưng thiếu actor, thiếu kết quả mong đợi và dùng thuật ngữ mơ hồ (“IEEE binary floatingpoint”). Không thể kiểm thử trực tiếp. Đánh giá defect = TRUE, severity = minor, đồng ý với nhãn silver."
audit_003,syn_002,synthetic_defect,synthetic_injected,Arcticons,Android,"Given the user is on the Icons screen, then the app should display the first result in the list.",True,missing_trigger,minor,TRUE,ambiguous_term|missing_constraint|not_testable|unsupported_external_assumption,minor,,"Statement mô tả hành vi hiển thị nhưng không xác định rõ “first result” là gì, thiếu ràng buộc và thiếu expected cụ thể để test. Điều này khiến requirement mơ hồ và khó kiểm thử. Đánh giá defect = TRUE, severity = minor,"
audit_004,issue_066,issue_statement,rule_seeded,django/django,Python,"Allow FilePathField path to accept a callable.
Description
	
I have a special case where I want to create a model containing the path to some local files on the server/dev machine. Seeing as the place where these files are stored is different on different machines I have the following:
import os
from django.conf import settings
from django.db import models
class LocalFiles(models.Model):
	name = models.CharField(max_length=255)
	file = models.FilePathField(path=os.path.join(settings.LOCAL_FILE_DIR, 'example_dir'))
Now when running manage.py makemigrations it will resolve the path based on the machine it is being run on. Eg: /home/<username>/server_files/example_dir
I had to manually change the migration to include the os.path.join() part to not break this when running the migration on production/other machine.",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"Statement mô tả vấn đề nhưng thiếu expected behavior, thiếu ràng buộc môi trường và không xác định rõ hành vi đúng của migration. Điều này khiến requirement mơ hồ và khó kiểm thử. Đánh giá defect = TRUE, severity = minor."
audit_005,issue_039,issue_statement,rule_seeded,coder/code-server,TypeScript,"Add option to set unix socket permissions
Hello,

when using the --socket option, I can tell code-server which socket to use, but not the permissions. At the moment the default permissions are 0755, which means that only the user is able to write to the socket while it's world readable...

When running together with a web server, it'd be nice if it could be set to 0770 and giving the group name/id so that a common group between web server and code-server would be possible.

Something like:

--socket /var/run/code-server.sock,0770,user,group
--socket /var/run/code-server.sock,0770,,group

Also, the server doesn't clean up the socket when it goes down and on a restart it errors out with address already in use...

I'm using workarounds at the moment, but it would be better if code-server could take care of it on its own.",True,ambiguous_term|missing_expected_outcome|not_testable,major,TRUE,ambiguous_term|missing_trigger|missing_expected_outcome|not_testable|overly_broad_requirement|unsupported_external_assumption,minor,,"The statement mixes multiple concerns (permission configuration and socket cleanup), lacks clear expected behavior, and does not specify when actions should occur. Several terms are vague, and the requirement cannot be tested as written. Therefore, it is considered a defect with minor severity."
audit_006,issue_045,issue_statement,rule_seeded,microsoft/vscode,TypeScript,"camelcase snippet variable format
<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- Please search existing issues to avoid creating duplicates. -->

<!-- Describe the feature you'd like. -->

I see the grammar at https://code.visualstudio.com/docs/editor/userdefinedsnippets#_grammar only supports `upcase`, `downcase`, and `capitalize` for format options. can there be a `camelcase` option that would transform the match text into camelCase?

Thanks for the awesome work!",True,missing_actor|missing_trigger,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is a feature request but lacks clear expected behavior, constraints, and testable output. Terms like “camelcase option” are underspecified, making the requirement ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_007,ac_055,acceptance_criterion,rule_seeded,mrdoob/three.js,JavaScript,"Given a GLTF file with morph targets, when the morph target data is specified as relative adjustments and three.js assumes absolute values, then the shader should be updated to handle both glTF style files and normal files correctly.",True,ambiguous_term|overly_broad_requirement,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is ambiguous and lacks clear expected behavior for how the shader should process relative versus absolute morph target data. It also omits constraints and does not provide testable outcomes. Therefore, it is considered a defect with minor severity."
audit_008,jstvr_111,layout_change_spec,mutation_description_derived,jstvr-webpages/shield.com,HTML/CSS,"For responsive layout regression testing on `shield.com`, the page should preserve the intended layout behavior after this mutant change: Changed content in <p>Lorem Ipsum is simply dummy text of the printing </p>.",True,missing_actor,minor,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is vague and does not define what the “intended layout behavior” is or how the page should appear after the mutation. It lacks constraints, expected outcomes, and testable criteria, making it ambiguous and not testable. Therefore, it is considered a defect with minor severity."
audit_009,issue_082,issue_statement,rule_seeded,Enchanted_Fortress,Android,"description: An Android turn-based fantasy fortress-building strategy game where players start or continue sessions, configure character and difficulty, manage workers and research across turns, view the hall of fame, read story/help, and adjust settings such as theme and leaderboard resets.

feature-1: Start a new game by naming a character, choosing a difficulty, and beginning gameplay from the setup screen.
sub-feature 1-1: From the main menu, tapping the ""hr.kravarscan.enchantedfortress:id/newGameButton"" opens the setup screen; entering ""kk"" into ""hr.kravarscan.enchantedfortress:id/nameInput"" sets the player name; tapping ""hr.kravarscan.enchantedfortress:id/difficultySelection"" and choosing the option with text ""Easy"" sets the difficulty; pressing ""hr.kravarscan.enchantedfortress:id/startButton"" begins gameplay, and using the Android system Back action returns to the previous screen.
sub-feature 1-3: Tapping the ""hr.kravarscan.enchantedfortress:id/continueButton"" resumes the current session from the main menu, and pressing the system Back button returns to the main menu.
sub-feature1-2: Tapping the Hall of Fame entry with resource-id ""hr.kravarscan.enchantedfortress:id/scoresBu
...[truncated]",False,,none,TRUE,ambiguous_term|missing_expected_outcome|missing_constraint|not_testable|overly_broad_requirement|unsupported_external_assumption,minor,,"The statement is overly broad and mixes multiple unrelated features without defining expected behavior, constraints, or testable outcomes. It is ambiguous and cannot be validated as written. Therefore, it is considered a defect with minor severity."
audit_010,syn_024,synthetic_defect,synthetic_injected,apache/dubbo,Java,"Given a MetadataServiceExporter instance, when the metadata protocol port is not specified and no user-defined application protocol is provided, then if the user environment does not contain a configured protocol, the default should be dubbo. This must follow the undocumented third-party policy.",True,unsupported_external_assumption,minor,TRUE,ambiguous_term|missing_actor|missing_expected_outcome|missing_constraint|not_testable|unsupported_external_assumption,minor,,"The statement is ambiguous, lacks a clear actor, and does not define expected behavior or constraints. It also relies on an undefined “undocumented third‑party policy,” making the requirement unverifiable and not testable. Therefore, it is considered a defect with minor severity."
