task_id,source_type,repo,language,condition,model,returncode,elapsed_sec,parse_ok,gold_has_defect,pred_has_defect,any_defect_correct,gold_defect_types,pred_defect_types,type_tp,type_fp,type_fn,weighted_type_tp,weighted_type_fp,weighted_type_fn,type_exact_match,false_alarm,missed_defect,over_report_count,under_report_count,pred_defect_count,gold_label_source,gold_severity,pred_severity,gold_severity_weight,pred_severity_weight,severity_abs_error,missed_major_or_critical,unsupported_span_count,span_checked_count,span_supported_count,span_supported_rate,unsupported_span_labels,copied_span_chars,confidence,mean_defect_confidence,brier_any_defect,confidence_bin,high_confidence_wrong,low_confidence_correct,needs_human_review,ambiguous_term_gold,ambiguous_term_pred,ambiguous_term_tp,ambiguous_term_fp,ambiguous_term_fn,missing_actor_gold,missing_actor_pred,missing_actor_tp,missing_actor_fp,missing_actor_fn,missing_trigger_gold,missing_trigger_pred,missing_trigger_tp,missing_trigger_fp,missing_trigger_fn,missing_expected_outcome_gold,missing_expected_outcome_pred,missing_expected_outcome_tp,missing_expected_outcome_fp,missing_expected_outcome_fn,missing_constraint_gold,missing_constraint_pred,missing_constraint_tp,missing_constraint_fp,missing_constraint_fn,not_testable_gold,not_testable_pred,not_testable_tp,not_testable_fp,not_testable_fn,overly_broad_requirement_gold,overly_broad_requirement_pred,overly_broad_requirement_tp,overly_broad_requirement_fp,overly_broad_requirement_fn,inconsistent_condition_gold,inconsistent_condition_pred,inconsistent_condition_tp,inconsistent_condition_fp,inconsistent_condition_fn,unsupported_external_assumption_gold,unsupported_external_assumption_pred,unsupported_external_assumption_tp,unsupported_external_assumption_fp,unsupported_external_assumption_fn
issue_001,issue_statement,apache/dubbo,Java,rubric_guided,qwen2.5-coder:1.5b,0,1.22,1,0,1,0,,missing_expected_outcome|missing_trigger,0,2,0,0,2,0,0,1,0,2,0,2,human_audit,none,minor,0,1,1,0,2,2,0,0.0,missing_expected_outcome|missing_trigger,95,0.95,0.7849999999999999,0.9025,0.9-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_002,issue_statement,apache/dubbo,Java,rubric_guided,qwen2.5-coder:1.5b,0,1.206,1,0,1,0,,missing_actor|missing_trigger,0,2,0,0,2,0,0,1,0,2,0,2,human_audit,none,minor,0,1,1,0,2,2,0,0.0,missing_actor|missing_trigger,52,0.75,0.775,0.5625,0.7-0.8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_005,issue_statement,apache/dubbo,Java,rubric_guided,qwen2.5-coder:1.5b,0,1.111,1,0,1,0,,missing_actor|missing_trigger,0,2,0,0,2,0,0,1,0,2,0,2,human_audit,none,minor,0,1,1,0,0,2,2,1.0,,98,0.75,0.815,0.5625,0.7-0.8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_014,issue_statement,mrdoob/three.js,JavaScript,rubric_guided,qwen2.5-coder:1.5b,0,2.071,1,1,1,1,ambiguous_term|missing_actor|missing_constraint|missing_expected_outcome|missing_trigger|not_testable|overly_broad_requirement,ambiguous_term|missing_actor|missing_trigger,3,0,4,3,0,4,0,0,0,0,4,3,human_audit,minor,minor,1,1,0,0,0,3,3,1.0,,747,0.95,0.82,0.0025000000000000044,0.9-1.0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
issue_016,issue_statement,mrdoob/three.js,JavaScript,rubric_guided,qwen2.5-coder:1.5b,0,1.062,1,1,1,1,missing_constraint|missing_expected_outcome,ambiguous_term,0,1,2,0,1,2,0,0,0,0,1,1,human_audit,minor,minor,1,1,0,0,1,1,0,0.0,ambiguous_term,19,0.75,0.82,0.0625,0.7-0.8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_018,issue_statement,mrdoob/three.js,JavaScript,rubric_guided,qwen2.5-coder:1.5b,0,1.102,1,1,1,1,missing_expected_outcome,missing_actor,0,1,1,0,1,1,0,0,0,0,0,1,human_audit,minor,minor,1,1,0,0,0,1,1,1.0,,9,0.75,0.82,0.0625,0.7-0.8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_020,issue_statement,prettier/prettier,JavaScript,rubric_guided,qwen2.5-coder:1.5b,0,1.023,1,0,1,0,,missing_constraint,0,1,0,0,1,0,0,1,0,1,0,1,human_audit,none,minor,0,1,1,0,1,1,0,0.0,missing_constraint,48,0.95,0.82,0.9025,0.9-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_023,issue_statement,prettier/prettier,JavaScript,rubric_guided,qwen2.5-coder:1.5b,0,1.136,1,1,1,1,missing_expected_outcome|not_testable,ambiguous_term|missing_actor,0,2,2,0,2,4,0,0,0,0,0,2,human_audit,major,minor,2,1,1,0,0,2,2,1.0,,63,0.75,0.8,0.0625,0.7-0.8,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_036,issue_statement,huggingface/transformers,Python,rubric_guided,qwen2.5-coder:1.5b,0,1.091,1,1,1,1,missing_expected_outcome,ambiguous_term,0,1,1,0,1,1,0,0,0,0,0,1,human_audit,minor,minor,1,1,0,0,0,1,1,1.0,,12,0.95,0.82,0.0025000000000000044,0.9-1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_037,issue_statement,coder/code-server,TypeScript,rubric_guided,qwen2.5-coder:1.5b,0,0.885,1,0,1,0,,ambiguous_term,0,1,0,0,1,0,0,1,0,1,0,1,human_audit,none,minor,0,1,1,0,0,1,1,1.0,,14,0.78,0.78,0.6084,0.7-0.8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
issue_039,issue_statement,coder/code-server,TypeScript,rubric_guided,qwen2.5-coder:1.5b,0,1.658,1,1,1,1,ambiguous_term|missing_expected_outcome|missing_trigger|not_testable|overly_broad_requirement|unsupported_external_assumption,missing_actor|missing_expected_outcome|missing_trigger,2,1,4,2,1,4,0,0,0,0,3,3,human_audit,minor,minor,1,1,0,0,3,3,0,0.0,missing_actor|missing_expected_outcome|missing_trigger,147,0.95,0.84,0.0025000000000000044,0.9-1.0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
issue_040,issue_statement,coder/code-server,TypeScript,rubric_guided,qwen2.5-coder:1.5b,0,0.885,1,0,1,0,,ambiguous_term,0,1,0,0,1,0,0,1,0,1,0,1,human_audit,none,minor,0,1,1,0,1,1,0,0.0,ambiguous_term,19,0.78,0.78,0.6084,0.7-0.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
